                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.94138,                0.80151,                 1.0705,                0.84927,                0.83298,                 0.8792,                0.71612,                0.76991,                0.57395,                0.94299,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.87129,                0.74345,                 1.0432,                0.84734,                0.82594,                0.87263,                0.71945,                0.76633,                0.57001,                0.94137,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.88122,                0.73373,                 1.0564,                0.85482,                0.83577,                0.88055,                0.72279,                0.76073,                0.56504,                0.93843,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.85501,                0.75121,                 1.0615,                0.82876,                0.83163,                0.87457,                0.72238,                0.76161,                 0.5593,                0.93848,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                 0.8712,                0.71246,                 1.0422,                0.82388,                 0.8335,                0.87609,                0.72568,                 0.7612,                0.55793,                0.93856,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.87954,                0.74364,                 1.0475,                0.84087,                0.84396,                0.88605,                0.72963,                0.75977,                0.55642,                0.93889,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.89377,                0.75988,                 1.0638,                0.86281,                0.83422,                0.88482,                0.72831,                0.75877,                0.55697,                0.93842,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 0.8532,                0.72226,                 1.0552,                0.88231,                0.82679,                0.88601,                 0.7268,                0.75689,                0.55643,                0.93771,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.87178,                0.72857,                 1.0349,                0.88942,                0.82258,                0.88776,                0.72859,                0.75397,                0.55228,                0.93599,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.81543,                0.71627,                 1.0276,                0.89807,                0.81667,                0.88766,                 0.7308,                0.75001,                0.54683,                0.93418,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.86913,                0.74787,                  1.043,                0.91112,                0.80888,                 0.8885,                0.73041,                0.74622,                0.54109,                0.93261,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.89941,                0.74108,                 1.0307,                0.90266,                 0.8113,                0.88737,                0.73063,                0.74318,                0.53677,                 0.9311,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.86601,                0.72225,                 1.0521,                0.90146,                0.81382,                0.88627,                0.72903,                0.74137,                0.53536,                0.92927,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.86312,                0.72569,                 1.0419,                0.90161,                0.81561,                0.88708,                0.73179,                 0.7403,                0.53662,                0.92851,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.83019,                0.70046,                  1.038,                0.90807,                0.81715,                0.88919,                 0.7323,                0.73945,                0.54057,                0.92786,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.87799,                 0.7524,                 1.0377,                0.91308,                0.81434,                0.88637,                0.73496,                0.73724,                0.54189,                0.92758,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.81704,                0.68719,                 1.0287,                0.90664,                0.82077,                 0.8882,                0.73568,                0.73448,                0.54056,                0.92642,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.86515,                0.71964,                 1.0385,                0.90208,                0.82366,                0.88768,                0.73726,                0.73205,                0.53799,                0.92581,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.83501,                0.68218,                 1.0252,                  0.898,                0.82568,                0.88573,                0.73707,                0.72983,                0.53495,                0.92466,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.82181,                0.68869,                 1.0378,                0.89209,                0.81686,                0.87954,                0.73728,                0.72883,                0.53388,                0.92421,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                 0.8021,                0.66724,                 1.0244,                0.90439,                0.81911,                0.88812,                0.73694,                0.72784,                0.53224,                0.92415,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.85067,                0.71401,                 1.0284,                0.91161,                0.81095,                0.88589,                0.73658,                 0.7254,                0.52905,                0.92365,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.84298,                0.70051,                 1.0431,                0.92265,                0.80902,                0.89172,                0.74076,                0.72235,                0.52522,                0.92276,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.85234,                0.68615,                 1.0349,                0.92242,                0.81062,                0.89204,                0.74279,                 0.7211,                0.52243,                0.92203,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.85917,                0.69386,                 1.0193,                0.92367,                0.80595,                0.89173,                0.74376,                0.71824,                0.52017,                0.92126,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.85303,                 0.7083,                 1.0345,                0.92941,                0.80722,                0.89516,                0.74398,                0.71811,                0.51897,                0.92068,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.83342,                0.69131,                 1.0253,                0.91968,                0.80961,                0.89468,                0.74384,                0.71721,                0.51754,                0.92046,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.84915,                0.69759,                 1.0323,                0.92101,                0.80906,                0.89425,                0.74307,                0.71685,                0.51783,                 0.9198,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.82871,                0.68609,                 1.0192,                0.92425,                0.80867,                0.89157,                0.74355,                0.71522,                0.51804,                0.91917,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.84163,                0.68347,                 1.0274,                0.92521,                0.81085,                0.89268,                0.74561,                0.71433,                 0.5184,                0.91885,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.82447,                0.67736,                 1.0226,                0.92108,                0.81132,                 0.8918,                0.74638,                 0.7124,                0.51831,                 0.9184,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.83014,                0.70116,                 1.0272,                0.91936,                0.81269,                0.89157,                0.74574,                0.71047,                0.51877,                0.91798,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.82966,                0.68208,                 1.0297,                 0.9156,                  0.815,                0.89295,                0.74711,                0.71045,                0.51907,                0.91764,              2.004e-05,              2.004e-05,              2.004e-05
